"DisplayName","Alias","Primary SMTP address","Distribution Group","Distribution Group Primary SMTP address"
"Modern Niagara","ModernNiagara","ttheodosiou@modernniagara.com","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"South East Construction Sales","SouthEastConstructionSales","sales@secon.ca","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) Al-Loyd Welding","CLRAl-Loyd","Al-Loyd@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) Aecon","CLRAecon","Aecon@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) Altex","CLRAltex","Altex@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) Black & McDonald","CLRBlack&McDonald","Black&McDonald@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) BFI","CLRBFI","BFI2@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) Balzer's Canada","CLRBalzer's","Balzer's@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) Babcock & Wilcox","CLRbabcock","babcock@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) C&E Mechanical","CLRC&E","C&E@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) Christie Mechanical","CLRChristieMech","ChristieMech@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) CIMS","CLRCIMS","CIMS@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) Cimco Refrig","CLRCimcoRefrig","CimcoRefrig@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) Derksen Mechanical","CLRDMS","DMS@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) Discount Plumbing","CLRDiscount","Discount@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) Ellis Mechanical","CLREllisMech","EllisMech@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) Grace Instrumentation","CLRGraceInst","GraceInst@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) Worley Industrial","CLRworleyindustrial","jacobs@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) Kusy's Electric","CLRKusy'sElec","Kusy'sElec@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) Icon Construction","CLRIconConst","IconConst@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) Tesc","CLRTesc","Tesc@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) PCL Industrial","CLRPCLIndustrialConstructors","PCLIndustrialConstructors@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) LML Industrial","CLRLML","LML@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) PCL Intracon","CLRPCLIntracon","PCLIntracon@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) Pow City Mechanical","CLRPowCityMech","PowCityMech@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) Thorpe Bros","CLRThorpeBros","ThorpeBros@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) Team Industrial","CLRTeamInd","TeamInd@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) Western System Controls","CLRWSC","WSC@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) Waiward Steel Fabricators","CLRWaiward","Waiward@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) Precise Machine","CLRPrecise","Precise@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
"(clr) SunnyCorner Enterprises Inc.","CLRSunnyCorner","SunnyCorner@clrs.local","(clr) Plumber/Pipefitter IND Contractors","Plumber/PipefitterINDContractors@clrs.local"
