#TYPE Selected.System.Management.Automation.PSCustomObject
"mail","Name","SamAccountName"
"A&DTraining@clrs.local","(clr) A&D Training","(clr)A&DTraining"
"AccentMasonry@clrs.local","(clr) Accent Masonry","(clr)AccentMasonry"
"Adler@clrs.local","(clr) Adler Insulation","(clr)AdlerInsulation"
"Aecon@clrs.local","(clr) Aecon","(clr)Aecon"
"Air-Tech@clrs.local","(clr) Air-Tech","(clr)Air-Tech"
,"(clr) All Canada Crane","(clr)AllCanadaCrane"
"Alliance@clrs.local","(clr) Alliance Refractories","(clr)AllianceRefractories"
"Allied@clrs.local","(clr) Allied Blower","(clr)AlliedBlower"
"Al-Loyd@clrs.local","(clr) Al-Loyd Welding","(clr)Al-LoydWelding"
"alstom@clrs.local","(clr) Alstom","(clr)Alstom"
"Altex@clrs.local","(clr) Altex","(clr)Altex"
"Aluma@clrs.local","(clr) Aluma Systems","(clr)AlumaSystems"
"AnlinWelding@clrs.local","(clr) Anlin Welding","(clr)AnlinWelding"
"APECIndustrial@clrs.local","(clr) APEC Industrial","(clr)APECIndustrial"
"Apperley@clrs.local","(clr) Apperley Electric","(clr)ApperleyElectric"
"ArdelSteel2@clrs.local","(clr) ArdelSteel","(clr)ArdelSteel"
"areva@clrs.local","(clr) Areva","(clr)Areva"
"atcostructures@clrs.local","(clr) Atco Structures","(clr)AtcoStructures"
"Atwork@clrs.local","(clr) Atwork Construction","(clr)AtworkConstruction"
"babcock@clrs.local","(clr) Babcock & Wilcox","(clr)Babcock&Wilcox"
"Balzer's@clrs.local","(clr) Balzer's Canada","(clr)Balzer'sCanada"
"Banshee2@clrs.local","(clr) Banshee P&H","(clr)BansheeP&H"
"BetterSuperVisionCourse@clrs.local","(clr) Better SuperVision Course","(clr)BetterSuperVisionCourse"
"BFI2@clrs.local","(clr) BFI","(clr)BFI"
"bhp@clrs.local","(clr) BHP Billiton","(clr)BHPBilliton"
"Bill'sElectricCity@clrs.local","(clr) Bill's Electric City","(clr)Bill'sElectricCity"
"Bird@clrs.local","(clr) Bird Const","(clr)BirdConst"
"Black&McDonald@clrs.local","(clr) Black & McDonald","(clr)Black&McDonald"
"BlackBox@clrs.local","(clr) Black Box Tech","(clr)BlackBoxTech"
"BMMetal@clrs.local","(clr) BM Metal Works","(clr)BMMetalWorks"
"Border@clrs.local","(clr) Border Insulators","(clr)BorderInsulators"
"BreckConstruction@clrs.local","(clr) Breck Construction","(clr)BreckConstruction"
"BricklayerContractors@clrs.local","(clr) Bricklayer Contractors","(clr)BricklayerContractors"
"Brock@clrs.local","(clr) Brock","(clr)Brock"
"Brxton@clrs.local","(clr) Brxton","(clr)Brxton"
"BSVAD@clrs.local","(clr) BSV and A&D Training","(clr)BSVandA&DTraining"
"BSVInstructors@clrs.local","(clr) BSV Instructors","(clr)BSVInstructors"
"C&BStoneworks@clrs.local","(clr) C&B Stoneworks","(clr)C&BStoneworks"
"C&E@clrs.local","(clr) C&E Mechanical","(clr)C&EMechanical"
"Camino@clrs.local","(clr) Camino Construction","(clr)CaminoConstruction"
"CanadianStebbins@clrs.local","(clr) Canadian Stebbins","(clr)CanadianStebbins"
"CarpenterContractors@clrs.local","(clr) Carpenter Contractors","(clr)CarpenterContractors"
"CCRL@clrs.local","(clr) CCRL","(clr)CCRL"
"CMcontractors@clrs.local","(clr) Cement Mason Contractors","(clr)CementMasonContractors"
"Centec@clrs.local","(clr) Centec Electric","(clr)CentecElectric"
"chemco@clrs.local","(clr) Chemco","(clr)Chemco"
"ChinookScaffold@clrs.local","(clr) Chinook Scaffold","(clr)ChinookScaffold"
"ChristieMech@clrs.local","(clr) Christie Mechanical","(clr)ChristieMechanical"
"CimcoRefrig@clrs.local","(clr) Cimco Refrig","(clr)CimcoRefrig"
"CIMS@clrs.local","(clr) CIMS","(clr)CIMS"
"CityMasonry@clrs.local","(clr) City Masonry","(clr)CityMasonry"
"CKMasonry@clrs.local","(clr) CK Masonry","(clr)CKMasonry"
"Clayburn@clrs.local","(clr) Clayburn Refractories","(clr)ClayburnRefractories"
"ClearwaterEnergyService@clrs.local","(clr) Clearwater Energy Service","(clr)ClearwaterEnergyService"
"CLRBOD@clrs.local","(clr) CLR Board of Directors","(clr)CLRBoardofDirectors"
"CLRcouncil@clrs.local","(clr) CLR Council","(clr)CLRCouncil"
"CLRCRANERENTALContr@clrs.local","(clr) CLR CRANE RENTAL Contr","(clr)CLRCRANERENTALContr"
"CLRElecCommCtrs@clrs.local","(clr) CLR Elec Comm Ctrs","(clr)CLRElecCommCtrs"
"CLRMembers-CarpenterTradeDivision@clrs.local","(clr) CLR Members - Carpenter Trade Division","(clr)CLRMembers-CarpenterTradeDivision"
"CLRMembers-CementMasonTradeDivision@clrs.local","(clr) CLR Members - Cement Mason Trade Division","(clr)CLRMembers-CementMasonTradeDivision"
"CLRMembers@clrs.local","(clr) CLR Members","(clr)CLRMembers"
"CLRMembers-IronworkerTradeDivision@clrs.local","(clr) CLR Members - Ironworker Trade Division","(clr)CLRMembers-IronworkerTradeDivision"
"CLRMembers-LabourerTradeDivision@clrs.local","(clr) CLR Members - Labourer Trade Division","(clr)CLRMembers-LabourerTradeDivision"
"CLRMembers-MillwrightTradeDivision@clrs.local","(clr) CLR Members - Millwright Trade Division","(clr)CLRMembers-MillwrightTradeDivision"
"CLRMillwrightMembers@clrs.local","(clr) CLR Millwright Members","(clr)CLRMillwrightMembers"
"CoastalSteel@clrs.local","(clr) Coastal Steel","(clr)CoastalSteel"
"codcagmcontractorsagm@clrs.local","(clr) CODC AGM Contractors 2018","(clr)CODCAGMContractors2018"
"codcbod@clrs.local","(clr) CODC Board of Directors","(clr)CODCBoardofDirectors"
"Coeus@clrs.local","(clr) Coeus Electric & Controls Ltd.","(clr)CoeusElectric&ControlsLtd_"
"CONSTRUCTIONOWNERSGROUP@clrs.local","(clr) CONSTRUCTION OWNERS GROUP","(clr)CONSTRUCTIONOWNERSGROUP"
"CraneRentalContractors@clrs.local","(clr) Crane Rental Contractors","(clr)CraneRentalContractors"
"CustomSteel@clrs.local","(clr) Custom Steel Erectors Ltd.","(clr)CustomSteelErectorsLtd_"
"Deco@clrs.local","(clr) Deco Interiors","(clr)DecoInteriors"
"DMS@clrs.local","(clr) Derksen Mechanical","(clr)DerksenMechanical"
"Discount@clrs.local","(clr) Discount Plumbing","(clr)DiscountPlumbing"
"Dominion@clrs.local","(clr) Dominion Construction","(clr)DominionConstruction"
"DoubleK@clrs.local","(clr) Double K","(clr)DoubleK"
"drivercheck@clrs.local","(clr) Drivercheck Inc.","(clr)DrivercheckInc_"
"ESFox@clrs.local","(clr) E. S. Fox Ltd.","(clr)E.S.FoxLtd_"
"Eco-Consulting@clrs.local","(clr) Eco-Consulting","(clr)Eco-Consulting"
"EdcoPH@clrs.local","(clr) Edco Plumbing & Heating","(clr)EdcoPlumbing&Heating"
"EdmontonExchanger@clrs.local","(clr) Edmonton Exchanger","(clr)EdmontonExchanger"
"Elance@clrs.local","(clr) Elance Steel","(clr)ElanceSteel"
