#TYPE Selected.System.Management.Automation.PSCustomObject,
email_addresses,samaccountname
CLRA_DTraining@clrsask.onmicrosoft.com,(clr)A&DTraining
CLRAccentMasonry@clrsask.onmicrosoft.com,(clr)AccentMasonry
CLRAdler@clrsask.onmicrosoft.com,(clr)AdlerInsulation
CLRAdlerFire@clrsask.onmicrosoft.com,(clr) Adler Firestopping
CLRAecon@clrsask.onmicrosoft.com,(clr)Aecon
CLRAir-Tech@clrsask.onmicrosoft.com,(clr)Air-Tech
CLRAlliance@clrsask.onmicrosoft.com,(clr)AllianceRefractories
CLRAllied@clrsask.onmicrosoft.com,(clr)AlliedBlower
CLRAl-Loyd@clrsask.onmicrosoft.com,(clr)Al-LoydWelding
CLRallusers@clrsask.onmicrosoft.com,(clr)AllUsers
CLRalstom@clrsask.onmicrosoft.com,(clr)Alstom
CLRAltex@clrsask.onmicrosoft.com,(clr)Altex
CLRAluma@clrsask.onmicrosoft.com,(clr)AlumaSystems
CLRAnlinWelding@clrsask.onmicrosoft.com,(clr)AnlinWelding
CLRAPECIndustrial@clrsask.onmicrosoft.com,(clr)APECIndustrial
CLRApperley@clrsask.onmicrosoft.com,(clr)ApperleyElectric
CLRArdelSteel2@clrsask.onmicrosoft.com,(clr)ArdelSteel
CLRareva@clrsask.onmicrosoft.com,(clr)Areva
CLRArmaturesBoisFrancs@clrsask.onmicrosoft.com,(clr)ArmaturesBois-FrancsInc_
CLRatcostructures@clrsask.onmicrosoft.com,(clr)AtcoStructures
CLRAtwork@clrsask.onmicrosoft.com,(clr)AtworkConstruction
CLRbabcock@clrsask.onmicrosoft.com,(clr)Babcock&Wilcox
CLRBalzer_s@clrsask.onmicrosoft.com,(clr)Balzer'sCanada
CLRBanshee@clrsask.onmicrosoft.com,(clr)BansheeP&H
CLRBetterSuperVisionCourse@clrsask.onmicrosoft.com,(clr)BetterSuperVisionCourse
CLRBFI@clrsask.onmicrosoft.com,(clr)BFI
CLRbhp@clrsask.onmicrosoft.com,(clr)BHPBilliton
CLRBill_sElectricCity@clrsask.onmicrosoft.com,(clr)Bill'sElectricCity
CLRBird@clrsask.onmicrosoft.com,(clr)BirdConst
CLRBlack_McDonald@clrsask.onmicrosoft.com,(clr)Black&McDonald
CLRBlackBox@clrsask.onmicrosoft.com,(clr)BlackBoxTech
CLRBMMetal@clrsask.onmicrosoft.com,(clr)BMMetalWorks
CLRBorder@clrsask.onmicrosoft.com,(clr)BorderInsulators
CLRBreckConstruction@clrsask.onmicrosoft.com,(clr)BreckConstruction
CLRBricklayerContractors@clrsask.onmicrosoft.com,(clr)BricklayerContractors
CLRBrock@clrsask.onmicrosoft.com,(clr)Brock
CLRBrxton@clrsask.onmicrosoft.com,(clr)Brxton
CLRBSVAD@clrsask.onmicrosoft.com,(clr)BSVandA&DTraining
CLRBSVInstructors@clrsask.onmicrosoft.com,(clr)BSVInstructors
CLRC_BStoneworks@clrsask.onmicrosoft.com,(clr)C&BStoneworks
CLRC_E@clrsask.onmicrosoft.com,(clr)C&EMechanical
CLRCamino@clrsask.onmicrosoft.com,(clr)CaminoConstruction
CLRCanadianStebbins@clrsask.onmicrosoft.com,(clr)CanadianStebbins
CLRCapitolSteel@clrsask.onmicrosoft.com,(clr)CapitolSteel
CLRCarpenterContractors@clrsask.onmicrosoft.com,(clr)CarpenterContractors
